"File","Field","Index","Speakers","Japanese","Speakers (E)","English","Sound file"
"0000.dat","speaker","0","","ガラド","","Gall",""
"0000.dat","speaker","1","","シング","","Shing",""
"0000.dat","line","12","0 [ガラド]","どうした、シング？
なにか悩みでもあるのか？","0 [Gall]","What’s the matter Shing? Something bothering
you?","NA_00_00_000"
"0000.dat","line","15","1 [シング]","ガラド、ものは相談なんだけどさ……","1 [Shing]","Well, Gall, I would like to discuss something
with you.","NA_00_00_001"
"0000.dat","line","19","0 [ガラド]","ああん？　なんだ、改まって","0 [Gall]","Wha-? Why so formal?","NA_00_00_002"
"0000.dat","line","26","1 [シング]","ガラド、オレ…………っ！","1 [Shing]","Gall, I...","NA_00_00_003"
"0000.dat","line","30","1 [シング]","オレ、男になりたいんだ！","1 [Shing]","I want to become a man!","NA_00_00_004"
"0000.dat","line","46","0 [ガラド]","はは～ん、さては、
嬢ちゃんといちゃつきてぇってことか。
いいねぇ、青春だねぇ","0 [Gall]","Hoho～, so you want to get with the ladies, huh?
Ah, to be young...","NA_00_00_005"
"0000.dat","line","51","1 [シング]","い、いちゃつくっていうか!?
え、えと…そんなんじゃなくて、
オレは純粋にコハクと――","1 [Shing]","G-get with the ladies?! Um... No, not that, my
intentions for Kohaku are pure...","NA_00_00_006"
"0000.dat","line","56","0 [ガラド]","まぁまぁ、そう照れなさんな。
そういうことなら、いっちょ俺が鍛えてやるぜ","0 [Gall]","Now now, no need to get flustered. I’ll help
whip you into shape.","NA_00_00_007"
"0000.dat","line","60","0 [ガラド]","あとは、そうだな…
俺はおまえを男にすることはできるが、
年頃の嬢ちゃんの気持ちまではちょっとなぁ……","0 [Gall]","Well then... I could make a man out of you, but
I have no idea what the ladies like these days...","NA_00_00_008"
"0000.dat","line","69","0 [ガラド]","みんなのアドバイスを
聞いてみるものいいんじゃねぇか？","0 [Gall]","Maybe you should go ask everyone else for
their advice?","NA_00_00_009"
"0000.dat","line","74","0 [ガラド]","近くにベリルがいたはずだ。
まずはそこからいくとするか","0 [Gall]","Beryl should be nearby. We should head on
over to her first.","NA_00_00_010"
"0000.dat","line","78","1 [シング]","よし、まずはベリルだね。
ガンドコ行こう！","1 [Shing]","Alright, let’s go find Beryl! Time to go all out!","NA_00_00_011"
"0000.dat","line","82","0 [ガラド]","おっと、早まるなシング！
まず最初に、男について、
大事なことを教えておかなくちゃならない","0 [Gall]","Hey, let’s not get ahead of ourselves, Shing!
First thing’s first, let me tell you something
you need to know about being a man.","NA_00_00_012"
"0000.dat","line","89","0 [ガラド]","男って言うのはな、強くなきゃならねぇ。
それは男の必須条件だ。
強くなくちゃ、守りたいものも、守れねぇ","0 [Gall]","One of the main tenets of being a man is that 
you need to be strong. After all, how can you 
keep anyone safe if you aren't strong.","NA_00_00_013"
"0000.dat","line","93","0 [ガラド]","強くない奴は、
男について、語ることも、学ぶ資格もないのさ…","0 [Gall]","Weaklings have no right to talk about being a
man, and aren’t cut out to learn about being 
a man...","NA_00_00_014"
"0000.dat","line","97","0 [ガラド]","だから、まずは相手に
自分が強いということを示すんだ","0 [Gall]","So you need to show whoever you’re up against
just who’s boss.","NA_00_00_015"
"0000.dat","line","101","0 [ガラド]","全ては、勝負に勝ってから！
それが、男道ってもんなのさ","0 [Gall]","It’s all about triumphing over whatever comes
your way! That’s how a man does things.","NA_00_00_016"
"0000.dat","line","107","1 [シング]","そ、そういうものなの…？","1 [Shing]","Is that really what it’s all about?","NA_00_00_017"
"0000.dat","line","111","0 [ガラド]","いいな。これは、そういうもんなんだ。
わかったな","0 [Gall]","Yes. That’s what it’s all about. Capiche?","NA_00_00_018"
"0000.dat","line","115","1 [シング]","う、うん！　わかったよガラド！
よーし、やってやるぞ！
絶対男になってやる！","1 [Shing]","Y-yeah! I totally get it, Gall! All right, let’s get this
show on the road! I’m going to become a man!","NA_00_00_019"
"0001.dat","speaker","0","","シング","","Shing",""
"0001.dat","speaker","1","","ガラド","","Gall",""
"0001.dat","speaker","2","","ベリル","","Beryl",""
"0001.dat","line","0","2 [ベリル]","真の男になるために修行中？
ふ～ん、なるほどねぇ。
で、ボクには何を教えて欲しいのさ？","2 [Beryl]","So you’re training to become a real man? 
Hmm～, I see... So, whaddaya want to ask 
me about?","NA_00_00_020"
"0001.dat","line","16","2 [ベリル]","うーん、そうだなぁ。
シングに足りないのは紳士さじゃないかなぁ？","2 [Beryl]","Hmm, well, you're kinda lacking in the
gentle-man side of it, Shing...","NA_00_00_021"
"0001.dat","line","22","1 [ガラド]","確かに。ガンドコ猪突猛進なサマに、
紳士さが備われば嬢ちゃんもイチコロかもなぁ！","1 [Gall]","She’s right. If that all-out going recklessness
of yours possessed the air of a gentleman, then 
you’d be a total ladykiller.","NA_00_00_022"
"0001.dat","line","27","2 [ベリル]","そうだ、クンツァイトなら
その辺ばっちりじゃないかな？","2 [Beryl]","Kunzite would probably be the perfect guy to 
ask about that!","NA_00_00_023"
"0001.dat","line","32","1 [ガラド]","よぅし、そんじゃあ次は
クンツァイトに会いに行こうぜ！","1 [Gall]","All right, let’s go pay Kunzite a visit next!","NA_00_00_024"
"0002.dat","speaker","0","","ガラド","","Gall",""
"0002.dat","speaker","1","","シング","","Shing",""
"0002.dat","speaker","2","","ベリル","","Beryl",""
"0002.dat","line","0","1 [シング]","あれ？　クンツァイトは？","1 [Shing]","Huh? Where’d Kunzite go?","NA_00_00_025"
"0002.dat","line","4","2 [ベリル]","『リチアさまの空腹を察知』って言って
凄い勢いで走ってっちゃった","2 [Beryl]","He ""sensed Lady Lithia’s hunger"" and took off
in a hurry.","NA_00_00_026"
"0002.dat","line","11","0 [ガラド]","ったく、クンツァイトも相変わらずだな。
んじゃ、ちょっくら別の手を打つとするか","0 [Gall]","Jeez, that’s just like that bucket of bolts. Let’s
take another stab at this elsewhere.","NA_00_00_027"
"0002.dat","line","19","0 [ガラド]","羽の兄さんが近くにいたはずだから、
そっちに向かうとしようぜ","0 [Gall]","I’m sure Wings is close by, so let’s go see where
he’s perched.","NA_00_00_028"
"0002.dat","line","23","1 [シング]","そうか、カルなら力を貸してくれそうだ","1 [Shing]","Yeah, Chalcedony should be willing to lend
a hand.","NA_00_00_029"
"0003.dat","speaker","0","","シング","","Shing",""
"0003.dat","speaker","1","","ガラド","","Gall",""
"0003.dat","speaker","2","","ベリル","","Beryl",""
"0003.dat","line","1","2 [ベリル]","アイテテ……なんでプニプニの人が……","2 [Beryl]","W-what’s with that bouncy babe...?","NA_00_00_030"
"0003.dat","line","5","1 [ガラド]","こういうことは羽の兄さんに相談する前に
あたしを通せ、だとさ。
言うだけ言って帰っちまったがな","1 [Gall]","She ran off saying, ""Before you go and ask 
Wings for advice, I've got some of my own.""","NA_00_00_031"
"0003.dat","line","9","2 [ベリル]","で、プニプニの人はなんて言ってたのさ？","2 [Beryl]","So what did she say?","NA_00_00_032"
"0003.dat","line","13","1 [ガラド]","当たって砕けろ、それが真の男だよ！
…ってな具合だったな","1 [Gall]","""Go for the broke! That’s the way of a true man!""
...Or something like that.","NA_00_00_033"
"0003.dat","line","19","2 [ベリル]","うへ…まったく参考にならない。
気を取り直して
カルセドニーのところへ行こー！","2 [Beryl]","And how is that supposed to be helpful? Let’s
just go on and find wherever Chalcedony is!","NA_00_00_034"
"0004.dat","speaker","0","","カルセドニー","","Chalcedony",""
"0004.dat","speaker","1","","シング","","Shing",""
"0004.dat","speaker","2","","ガラド","","Gall",""
"0004.dat","speaker","3","","ベリル","","Beryl",""
"0004.dat","line","0","0 [カルセドニー]","なるほど。
コハクに想いを伝えるにはどうすればいいか、か","0 [Chalcedony]","I understand. So what will you do to convey
your feelings to Kohaku?","NA_00_00_035"
"0004.dat","line","5","1 [シング]","わー！　わー！　待った待ったぁ！
そんなにはっきり言わなくてもいいだろ!?","1 [Shing]","Waitー Hold on! You can’t go blurting stuff out
like that!","NA_00_00_036"
"0004.dat","line","13","0 [カルセドニー]","何を慌てているのだ？
そんな調子では到底、おまえに
想いを伝えることなどできそうにないが…","0 [Chalcedony]","What are you getting worked up for? With that
attitude, I don’t think you’ll ever make any
progress conveying your feelings.","NA_00_00_037"
"0004.dat","line","18","1 [シング]","やるよ、オレ。
ガラドに男になる、って誓ったしさ","1 [Shing]","I will. Gall swore to make a man out of me.","NA_00_00_038"
"0004.dat","line","21","0 [カルセドニー]","おまえの決意、見せてもらおう。
その誓いこそが
おまえ自身のスピリアを強くする","0 [Chalcedony]","Then show me your convictionー Your vow to
make your Spiria stronger.","NA_00_00_039"
"0004.dat","line","25","1 [シング]","で、でも…オレ、なんて言ったらいいか
思いつかないんだ……","1 [Shing]","B-but I can’t think of anything to say...","NA_00_00_040"
"0004.dat","line","30","3 [ベリル]","んー、だったらあの人に聞いてみるのはどう？
世界勇者の人","3 [Beryl]","Then why don’t you try asking the ""World’s 
Bravest Man"" about it?","NA_00_00_041"
"0004.dat","line","38","2 [ガラド]","そいつぁ面白そうだな。
行ってみようぜ","2 [Gall]","This ought to be interesting. Let’s go meet him.","NA_00_00_042"
"0005.dat","speaker","0","","コハク","","Kohaku",""
"0005.dat","speaker","1","","シング","","Shing",""
"0005.dat","speaker","2","","カルセドニー","","Chalcedony",""
"0005.dat","speaker","3","","ベリル","","Beryl",""
"0005.dat","speaker","4","","ガラド","","Gall",""
"0005.dat","line","1","1 [シング]","それで、アーメスは何て言ってたの？","1 [Shing]","So what was Amethyst saying?","NA_00_00_043"
"0005.dat","line","5","4 [ガラド]","『ビューティフルでワンダフルなコハク。
　マイスピリアはユーのストロングで
　ノーブルなスピリアに惹かれているのです』","4 [Gall]","""Beautiful and wonderful Kohaku, my Spiria
is utterly infatuated with yours, so strong 
and noble.""","NA_00_00_044"
"0005.dat","line","8","4 [ガラド]","『ああ、だからコハク。
　僕のワイフになってくれないか？』
…か。あ、こりゃあダメだな","4 [Gall]","""That is why I, Amethyst, shall make you my 
bride..."" Hey, wait a minute.","NA_00_00_045"
"0005.dat","line","16","3 [ベリル]","ちょっと斜め上いきすぎだよねぇ。
いくらシングが言うにしても笑えないよ","3 [Beryl]","Woah, he’s coming on way too strong. This is
no laughing matter, Shing.","NA_00_00_046"
"0005.dat","line","21","1 [シング]","じゃあ、オレはどうすれば……","1 [Shing]","Then what should I do...","NA_00_00_047"
"0005.dat","line","25","2 [カルセドニー]","惑わされるな、メテオライト。
おまえには
おまえだけにしかないスピリアがあるはずだ","2 [Chalcedony]","This is not the time to be shaken up, Meteoryte.
Remember that you have a Spiria capable of 
things no one else can do.","NA_00_00_048"
"0005.dat","line","31","2 [カルセドニー]","おまえ自身の言葉を紡ぐのだ。
コハクは、おまえにとって大切な人なんだろう？","2 [Chalcedony]","You should speak from the heart. You are 
Kohaku’s one and only, correct?","NA_00_00_049"
"0005.dat","line","34","1 [シング]","うん…………そうだね……カル。ありがとう！
オレ、やるよ！","1 [Shing]","Y-yeah, that’s right! Chalcedony, thank you!
I’ll do it!","NA_00_00_050"
"0005.dat","line","47","3 [ベリル]","鉄は熱いうちに打て、だね！
よぉし、それじゃコハク呼んできちゃうよ～！","3 [Beryl]","Strike while the iron’s hot, Shing! You gotta tell
Kohaku how you feel!","NA_00_00_051"
"0005.dat","line","72","0 [コハク]","みんな揃ってどうしたの？","0 [Kohaku]","What’s everyone doing here?","NA_00_00_052"
"0005.dat","line","76","4 [ガラド]","さぁ、シング！
腹くくれ！","4 [Gall]","Go for it Shing! Speak your mind!","NA_00_00_053"
"0005.dat","line","80","1 [シング]","う、うん！","1 [Shing]","I-I will!","NA_00_00_054"
"0005.dat","line","87","1 [シング]","コハク！","1 [Shing]","Kohaku!","NA_00_00_055"
"0005.dat","line","91","0 [コハク]","なに、シング？","0 [Kohaku]","What’s up, Shing?","NA_00_00_056"
"0005.dat","line","95","1 [シング]","あ、あの……
オ、オ、オレ…………
コ、コハクのこと……す…………","1 [Shing]","U-um... I-I... you.. love...","NA_00_00_057"
