File,Field,Index,Speakers,Japanese,Speakers (E),English,comments
0000.dat,speaker,0,,ガラド,,Gall,
0000.dat,speaker,1,,シング,,Shing,
0000.dat,line,12,0 [ガラド],"どうした、シング？
なにか悩みでもあるのか？",0 [Gall],"What’s the matter Shing? Something bothering
you?",
0000.dat,line,15,1 [シング],ガラド、ものは相談なんだけどさ……,1 [Shing],"Well, Gall, I would like to discuss something
with you.",
0000.dat,line,19,0 [ガラド],ああん？　なんだ、改まって,0 [Gall],Wha-? Why so formal?,
0000.dat,line,26,1 [シング],ガラド、オレ…………っ！,1 [Shing],"Gall, I...",
0000.dat,line,30,1 [シング],オレ、男になりたいんだ！,1 [Shing],I want to become a man!,
0000.dat,line,46,0 [ガラド],"はは～ん、さては、
嬢ちゃんといちゃつきてぇってことか。
いいねぇ、青春だねぇ",0 [Gall],"Hoho～, so you want to get with the ladies, huh?
Ah, to be young...",
0000.dat,line,51,1 [シング],"い、いちゃつくっていうか!?
え、えと…そんなんじゃなくて、
オレは純粋にコハクと――",1 [Shing],"G-get with the ladies?! Um... No, not that, my
intentions for Kohaku are pure...",
0000.dat,line,56,0 [ガラド],"まぁまぁ、そう照れなさんな。
そういうことなら、いっちょ俺が鍛えてやるぜ",0 [Gall],"Now now, no need to get flustered. I’ll help
whip you into shape.",
0000.dat,line,60,0 [ガラド],"あとは、そうだな…
俺はおまえを男にすることはできるが、
年頃の嬢ちゃんの気持ちまではちょっとなぁ……",0 [Gall],"Well then... I could make a man out of you, but
I have no idea what the ladies like these days...",
0000.dat,line,69,0 [ガラド],"みんなのアドバイスを
聞いてみるものいいんじゃねぇか？",0 [Gall],"Maybe you should go ask everyone else for
their advice?",
0000.dat,line,74,0 [ガラド],"近くにベリルがいたはずだ。
まずはそこからいくとするか",0 [Gall],"Beryl should be nearby. We should head on
over to her first.",
0000.dat,line,78,1 [シング],"よし、まずはベリルだね。
ガンドコ行こう！",1 [Shing],"Alright, let’s go find Beryl! Time to go all out!",
0000.dat,line,82,0 [ガラド],"おっと、早まるなシング！
まず最初に、男について、
大事なことを教えておかなくちゃならない",0 [Gall],"Hey, let’s not get ahead of ourselves, Shing!
First things first, let me tell you something you 
need to know about being a man.",
0000.dat,line,89,0 [ガラド],"男って言うのはな、強くなきゃならねぇ。
それは男の必須条件だ。
強くなくちゃ、守りたいものも、守れねぇ",0 [Gall],"If you’re going to call yourself a man, one of the
main tenets is that you gotta be strong. If you 
aren’t, you aren’t keeping anyone safe. ",
0000.dat,line,93,0 [ガラド],"強くない奴は、
男について、語ることも、学ぶ資格もないのさ…",0 [Gall],"Weaklings have no right to talk about being a
man, and aren’t cut out to learn about being 
a man...",
0000.dat,line,97,0 [ガラド],"だから、まずは相手に
自分が強いということを示すんだ",0 [Gall],"So you need to show whoever you’re up against
just who’s boss.",
0000.dat,line,101,0 [ガラド],"全ては、勝負に勝ってから！
それが、男道ってもんなのさ",0 [Gall],"It’s all about triumphing over whatever comes
your way! That’s how a man does things.",
0000.dat,line,107,1 [シング],そ、そういうものなの…？,1 [Shing],Is that really what it’s all about?,
0000.dat,line,111,0 [ガラド],"いいな。これは、そういうもんなんだ。
わかったな",0 [Gall],Yes. That’s what it’s all about. Capiche?,
0000.dat,line,115,1 [シング],"う、うん！　わかったよガラド！
よーし、やってやるぞ！
絶対男になってやる！",1 [Shing],"Y-yeah! I totally get it, Gall! All right, let’s get this
show on the road! I’m going to become a man!",
0001.dat,speaker,0,,シング,,Shing,
0001.dat,speaker,1,,ガラド,,Gall,
0001.dat,speaker,2,,ベリル,,Beryl,
0001.dat,line,0,2 [ベリル],"真の男になるために修行中？
ふ～ん、なるほどねぇ。
で、ボクには何を教えて欲しいのさ？",2 [Beryl],"So you’re training to become a real man? 
Hmm～, I see... So, whaddaya want to ask 
me about?",
0001.dat,line,16,2 [ベリル],"うーん、そうだなぁ。
シングに足りないのは紳士さじゃないかなぁ？",2 [Beryl],"Hmmm, well, you are kinda lacking in the 
gentleness of manliness, Shing...",
0001.dat,line,22,1 [ガラド],"確かに。ガンドコ猪突猛進なサマに、
紳士さが備われば嬢ちゃんもイチコロかもなぁ！",1 [Gall],"She’s right. If that all-out going recklessness
of yours possessed the air of a gentleman, then 
you’d be a total ladykiller.",
0001.dat,line,27,2 [ベリル],"そうだ、クンツァイトなら
その辺ばっちりじゃないかな？",2 [Beryl],"Kunzite would probably be the perfect guy to 
ask about that!",
0001.dat,line,32,1 [ガラド],"よぅし、そんじゃあ次は
クンツァイトに会いに行こうぜ！",1 [Gall],"All right, let’s go pay Kunzite a visit next!",
0002.dat,speaker,0,,ガラド,,Gall,
0002.dat,speaker,1,,シング,,Shing,
0002.dat,speaker,2,,ベリル,,Beryl,
0002.dat,line,0,1 [シング],あれ？　クンツァイトは？,1 [Shing],Huh? Where’d Kunzite go?,
0002.dat,line,4,2 [ベリル],"『リチアさまの空腹を察知』って言って
凄い勢いで走ってっちゃった",2 [Beryl],"He ""sensed Lady Lithia’s hunger"" and took off
in a hurry.",
0002.dat,line,11,0 [ガラド],"ったく、クンツァイトも相変わらずだな。
んじゃ、ちょっくら別の手を打つとするか",0 [Gall],"Jeez, that’s just like that bucket of bolts. Let’s
take another stab at this elsewhere",Kunzite is a robot soo
0002.dat,line,19,0 [ガラド],"羽の兄さんが近くにいたはずだから、
そっちに向かうとしようぜ",0 [Gall],"I’m sure Wings is close by, so let’s go see where
he’s perched.",羽の兄さん = Wings in Rs localization
0002.dat,line,23,1 [シング],そうか、カルなら力を貸してくれそうだ,1 [Shing],"Yeah, Chalcedony should be willing to lend
a hand.",
0003.dat,speaker,0,,シング,,Shing,
0003.dat,speaker,1,,ガラド,,Gall,
0003.dat,speaker,2,,ベリル,,Beryl,
0003.dat,line,1,2 [ベリル],アイテテ……なんでプニプニの人が……,2 [Beryl],W-what’s with that bouncy babe...?,
0003.dat,line,5,1 [ガラド],"こういうことは羽の兄さんに相談する前に
あたしを通せ、だとさ。
言うだけ言って帰っちまったがな",1 [Gall],"""Before you go and ask Wings for advice, I've
got my own piece of advice,"" is what she said
before she went off.",～
0003.dat,line,9,2 [ベリル],で、プニプニの人はなんて言ってたのさ？,2 [Beryl],So what did she say?,
0003.dat,line,13,1 [ガラド],"当たって砕けろ、それが真の男だよ！
…ってな具合だったな",1 [Gall],"""Go for the broke! That’s the way of a true man!""
...Or something like that.",
0003.dat,line,19,2 [ベリル],"うへ…まったく参考にならない。
気を取り直して
カルセドニーのところへ行こー！",2 [Beryl],"And how is that’s supposed to be helpful? Let’s
just go on and find wherever Chalcedony is!",
0004.dat,speaker,0,,カルセドニー,,Chalcedony,
0004.dat,speaker,1,,シング,,Shing,
0004.dat,speaker,2,,ガラド,,Gall,
0004.dat,speaker,3,,ベリル,,Beryl,
0004.dat,line,0,0 [カルセドニー],"なるほど。
コハクに想いを伝えるにはどうすればいいか、か",0 [Chalcedony],"I understand. So what will you do to convey
your feelings to Kohaku?",
0004.dat,line,5,1 [シング],"わー！　わー！　待った待ったぁ！
そんなにはっきり言わなくてもいいだろ!?",1 [Shing],"Waitー Hold on! You can't go blurting stuff out
like that!",
0004.dat,line,13,0 [カルセドニー],"何を慌てているのだ？
そんな調子では到底、おまえに
想いを伝えることなどできそうにないが…",0 [Chalcedony],"What are you getting worked up for? With that
attitude, I don’t think you’ll never make any
progress in conveying your feelings.",
0004.dat,line,18,1 [シング],"やるよ、オレ。
ガラドに男になる、って誓ったしさ",1 [Shing],"I will, Gall swore to make a man out of me.",
0004.dat,line,21,0 [カルセドニー],"おまえの決意、見せてもらおう。
その誓いこそが
おまえ自身のスピリアを強くする",0 [Chalcedony],"Then show me your convictionー Your vow to
make your Spiria stronger.",
0004.dat,line,25,1 [シング],"で、でも…オレ、なんて言ったらいいか
思いつかないんだ……",1 [Shing],B-but I can’t think of anything to say...,
0004.dat,line,30,3 [ベリル],"んー、だったらあの人に聞いてみるのはどう？
世界勇者の人",3 [Beryl],"Then why don't you try asking the ""World's 
Bravest Man"" about it?",
0004.dat,line,38,2 [ガラド],"そいつぁ面白そうだな。
行ってみようぜ",2 [Gall],This ought to be interesting. Let’s go meet him.,
0005.dat,speaker,0,,コハク,,Kohaku,
0005.dat,speaker,1,,シング,,Shing,
0005.dat,speaker,2,,カルセドニー,,Chalcedony,
0005.dat,speaker,3,,ベリル,,Beryl,
0005.dat,speaker,4,,ガラド,,Gall,
0005.dat,line,1,1 [シング],それで、アーメスは何て言ってたの？,1 [Shing],So what was Amethyst saying?,
0005.dat,line,5,4 [ガラド],"『ビューティフルでワンダフルなコハク。
　マイスピリアはユーのストロングで
　ノーブルなスピリアに惹かれているのです』",4 [Gall],"""Beautiful and wonderful Kohaku, my Spiria is utterly infatuated with yours, so strong and noble.""",
0005.dat,line,8,4 [ガラド],"『ああ、だからコハク。
　僕のワイフになってくれないか？』
…か。あ、こりゃあダメだな",4 [Gall],"""That is why I, Amethyst, shall make you my bride..."" Hey, wait a minute.",
0005.dat,line,16,3 [ベリル],"ちょっと斜め上いきすぎだよねぇ。
いくらシングが言うにしても笑えないよ",3 [Beryl],"Woah, he’s coming on way too strong. This is no laughing matter, Shing.",
0005.dat,line,21,1 [シング],じゃあ、オレはどうすれば……,1 [Shing],Then what should I do...,
0005.dat,line,25,2 [カルセドニー],"惑わされるな、メテオライト。
おまえには
おまえだけにしかないスピリアがあるはずだ",2 [Chalcedony],"Don’t give in to his delusions, Meteoryte. Remember that you have a Spira capable of things no one else can do.",
0005.dat,line,31,2 [カルセドニー],"おまえ自身の言葉を紡ぐのだ。
コハクは、おまえにとって大切な人なんだろう？",2 [Chalcedony],"You should speak from the heart. You are Kohaku’s one and only, correct?",
0005.dat,line,34,1 [シング],"うん…………そうだね……カル。ありがとう！
オレ、やるよ！",1 [Shing],"Y-yeah, that’s right! Chalcedony, thank you! I’ll do it!",
0005.dat,line,47,3 [ベリル],"鉄は熱いうちに打て、だね！
よぉし、それじゃコハク呼んできちゃうよ～！",3 [Beryl],Strike while the iron’s blazing Shing! You gotta tell Kohaku how you feel!,Beryls a pain to write for cause her shtick is messing up words
0005.dat,line,72,0 [コハク],みんな揃ってどうしたの？,0 [Kohaku],What are you all doing here together?,
0005.dat,line,76,4 [ガラド],"さぁ、シング！
腹くくれ！",4 [Gall],Go for it Shing! Speak your mind!,
0005.dat,line,80,1 [シング],う、うん！,1 [Shing],I-I will!,
0005.dat,line,87,1 [シング],コハク！,1 [Shing],Kohaku!,
0005.dat,line,91,0 [コハク],なに、シング？,0 [Kohaku],"What’s up, Shing?",
0005.dat,line,95,1 [シング],"あ、あの……
オ、オ、オレ…………
コ、コハクのこと……す…………",1 [Shing],U-um... I-I was wondering if you.. your...,
0005.dat,line,99,0 [コハク],す……？,0 [Kohaku],Mine?,
0005.dat,line_speaker,104,,シング,,Shing,
0005.dat,line,104,,（やっぱり、ダメだ…！）,,(Damn it!),
0005.dat,line,109,1 [シング],"す、そう！
コハクの大好きなミソ
買ってきたから一緒に食べよう！",1 [Shing],Y-yeah! Your favorite food miso! Let’s go out and buy some so we can eat it together!,
0005.dat,line,120,0 [コハク],"本当！？　やった！
ちょうどマイミソ切れたところだったの！
気が利くね、シング。ありがとう♪",0 [Kohaku],R-really!? That would be amazing! I ran out of my miso a little while ago. You’re so sweet Shing!,
0005.dat,line_speaker,130,,三人,,三人,
0005.dat,line,130,"2 [カルセドニー]
3 [ベリル]
4 [ガラド]",はぁ～…………,"2 [Chalcedony]
3 [Beryl]
4 [Gall]",Hah～,
0005.dat,line,137,3 [ベリル],もー、ホントにシングってば、だらしないなぁ,3 [Beryl],Really Shing? You’re so careless.,
0005.dat,line,140,2 [カルセドニー],"メテオライト、おまえには失望したぞ。
ここまで来て、スピリアが定まらんとは",2 [Chalcedony],"You’ve disappointed me, Meteoryte. You’ve come this far yet, lacking in Spira.",
